year,region,population_estimate_15_over,population_standard_error,population_cov,labor_force_estimate,labor_force_standard_error,labor_force_cov,labor_force_participation_rate_estimate,labor_force_participation_rate_standard_error,labor_force_participation_rate_standard_error_cov,employment_rate,unemployment_rate,poverty_urban,poverty_urban_cov,poverty_urban_standard_error,poverty_rural,poverty_rural_cov,poverty_rural_standard_error,index_crime,index_crime_clear,nonindex_crime,nonindex_crime_clear,crime_sovled_total
2018,ncr,"9,186",,,"5,538",,,60.3,,,93.4,6.6,311.53,11.77,36.67,,,,"14,650","11,105","130,419","120,192","38,216"
2018,car,"1,270",,,786,,,61.9,,,95.9,4.1,25.37,17.98,4.56,188.93,5.59,10.56,"1,159",836,"6,021","4,996","2,349"
2018,1,"3,520",,,"2,172",,,61.7,,,93.2,6.8,68.25,26.23,17.90,441.72,10.04,44.36,"2,910","2,005","28,320","26,397","16,012"
2018,2,"2,403",,,"1,535",,,63.9,,,97,3,75.98,23.09,17.54,503.16,6.73,33.87,"2,389","2,052","9,197","8,921","4,541"
2018,3,"7,889",,,"4,722",,,59.9,,,94.2,5.8,397.07,9.93,39.42,440.84,9.02,39.75,"6,688","5,398","36,315","33,340","15,760"
2018,4a,"10,096",,,"6,328",,,62.7,,,93.4,6.6,508.90,11.09,56.41,603.26,9.99,60.29,"8,312","6,350","38,741","34,492","22,033"
2018,4b,"2,093",,,"1,298",,,62.0,,,95.3,4.7,121.06,15.58,18.87,348.16,7.15,24.89,"1,427","1,210","5,368","4,931","4,511"
2018,5,"4,113",,,"2,503",,,60.9,,,95.1,4.9,222.46,15.69,34.90,"1,413.47",4.22,59.71,"4,934","2,519","20,501","16,915","8,099"
2018,6,"5,459",,,"3,343",,,61.2,,,94.7,5.3,50.87,17.94,9.13,601.72,7.05,42.42,"5,030","3,783","22,870","19,277","11,466"
2018,7,"5,295",,,"3,248",,,61.3,,,94.7,5.3,322.99,12.85,41.50,671.88,8.48,56.98,"13,637","7,155","50,780","42,160","26,750"
2018,8,"3,155",,,"1,932",,,61.2,,,95.8,4.2,109.50,20.37,22.31,"1,312.45",4.13,54.18,"2,894","2,642","7,390","6,975","5,336"
2018,9,"2,617",,,"1,474",,,56.4,,,95.9,4.1,234.77,8.90,20.89,977.18,4.88,47.69,"4,213","1,882","9,523","7,454","5,949"
2018,10,"3,314",,,"2,196",,,66.3,,,95.9,4.1,381.39,6.99,26.65,739.05,5.16,38.14,"3,266","2,042","10,287","8,308","6,729"
2018,11,"3,505",,,"2,113",,,60.3,,,95.7,4.3,449.00,11.00,49.41,525.73,5.38,28.26,"3,791","2,219","9,772","9,037","8,035"
2018,12,"3,150",,,"1,944",,,61.7,,,96.1,3.9,434.13,9.45,41.01,774.81,6.35,49.23,"3,331","1,599","14,551","12,136","8,337"
2018,13,"1,885",,,"1,214",,,64.4,,,95.9,4.1,185.84,9.09,16.89,638.10,3.98,25.38,"1,856","1,204","7,492","6,794","4,706"
2018,barmm,"2,390",,,"1,114",,,46.5,,,96.2,3.8,664.46,7.77,51.64,"1,962.57",4.16,81.67,926,276,"1,433",990,"1,181"
2019,ncr,"9,758",,,"5,904",,,60.5,,,94,6,,,,,,,"12,695",,"35,847",,"36,843"
2019,car,"1,210",,,743,,,61.4,,,96.5,3.5,,,,,,,230,,827,,"2,332"
2019,1,"3,493",,,"2,153",,,61.6,,,94.7,5.3,,,,,,,,,,,"11,223"
2019,2,"2,393",,,"1,504",,,62.9,,,96.4,3.6,,,,,,,,,,,"4,299"
2019,3,"8,333",,,"4,982",,,59.8,,,94.9,5.1,,,,,,,,,,,"18,444"
2019,4a,"10,737",,,"6,869",,,64,,,93.8,6.2,,,,,,,,,,,"26,133"
2019,4b,"2,016",,,"1,223",,,60.7,,,95.7,4.3,,,,,,,,,,,"3,013"
2019,5,"3,886",,,"2,359",,,60.7,,,94.9,5.1,,,,,,,,,,,"8,029"
2019,6,"5,351",,,"3,162",,,59.1,,,95.3,4.7,,,,,,,,,,,"11,656"
2019,7,"5,322",,,"3,304",,,62.1,,,94.8,5.2,,,,,,,,,,,"32,881"
2019,8,"3,084",,,"1,862",,,60.4,,,95.6,4.4,,,,,,,,,,,"5,051"
2019,9,"2,474",,,"1,392",,,56.3,,,96.3,3.7,,,,,,,,,,,"6,213"
2019,10,"3,300",,,"2,266",,,68.7,,,95.6,4.4,,,,,,,,,,,"5,918"
2019,11,"3,493",,,"2,088",,,59.8,,,96.2,3.8,,,,,,,,,,,"13,373"
2019,12,"3,135",,,"2,004",,,63.9,,,95.6,4.4,,,,,,,,,,,"8,168"
2019,13,"1,777",,,"1,108",,,62.4,,,95.2,4.8,,,,,,,,,,,"4,578"
2019,barmm,"2,380",,,"1,274",,,53.5,,,93.7,6.3,,,,,,,,,,,"1,613"
2020,ncr,"9,938",,,"5,718",,,57.5,,,88.3,11.7,,,,,,,"8,501","6,812","32,868","32,099","32,174"
2020,car,"1,226",,,752,,,61.4,,,89.6,10.4,,,,,,,637,567,"1,583","1,533","1,808"
2020,1,"3,545",,,"2,220",,,62.6,,,86.6,13.4,,,,,,,"1,501","1,434","8,768","8,678","8,905"
2020,2,"2,442",,,"1,498",,,61.3,,,91.3,8.7,,,,,,,"1,083","1,061","11,686","11,681","11,349"
2020,3,"8,576",,,"4,882",,,56.9,,,86.9,13.1,,,,,,,"3,700","3,478","22,248","21,979","21,244"
2020,4a,"11,097",,,"6,847",,,61.7,,,88.4,11.6,,,,,,,"4,917","4,548","28,301","28,087","28,408"
2020,4b,"2,049",,,"1,221",,,59.6,,,92.7,7.3,,,,,,,923,883,"3,880","3,853","3,889"
2020,5,"3,950",,,"2,351",,,59.5,,,90.5,9.5,,,,,,,"3,030","2,626","8,680","8,575","8,781"
2020,6,"5,424",,,"3,182",,,58.7,,,92.2,7.8,,,,,,,"2,852","2,677","9,551","9,401","10,512"
2020,7,"5,433",,,"3,188",,,58.7,,,89.7,10.3,,,,,,,"5,834","5,474","26,379","25,782","28,206"
2020,8,"3,131",,,"1,822",,,58.2,,,92,8,,,,,,,"1,560","1,503","5,364","5,324","5,344"
2020,9,"2,511",,,"1,429",,,57,,,90.1,9.9,,,,,,,"1,718","1,538","4,725","4,656","4,925"
2020,10,"3,372",,,"2,237",,,66.3,,,93.6,6.4,,,,,,,"2,089","1,947","7,391","7,190","7,333"
2020,11,"3,558",,,"2,047",,,57.5,,,90.8,9.2,,,,,,,"1,932","1,744","14,761","14,680","14,983"
2020,12,"3,212",,,"2,021",,,62.9,,,90.9,9.1,,,,,,,"1,605","1,330","6,057","5,807","5,716"
2020,13,"1,804",,,"1,146",,,63.5,,,92.4,7.6,,,,,,,"1,295","1,241","6,405","6,255","5,097"
2020,barmm,"2,465",,,"1,318",,,53.5,,,91,9,,,,,,,735,648,"1,605","1,410","1,589"
2021,ncr,"10,107",,,"6,149",,,60.8,,,89.4,10.6,493.41,7.21,35.57,,,,"7,423","6,461","30,619","30,138","78,271"
2021,car,"1,251",,,802,,,64.1,,,94.2,5.8,36.59,13.70,5.01,147.94,5.65,8.35,553,495,"1,373","1,341","2,372"
2021,1,"3,585",,,"2,337",,,65.2,,,91.8,8.2,144.65,18.36,26.56,629.75,7.48,47.11,"1,290","1,214","4,688","4,592","7,337"
2021,2,"2,488",,,"1,635",,,65.7,,,94,6,100.78,22.19,22.36,470.66,7.54,35.50,798,776,"8,870","8,857","10,890"
2021,3,"8,788",,,"5,183",,,59,,,92.5,7.5,854.26,10.26,87.61,600.19,7.60,45.62,"3,734","3,513","18,897","18,661","31,346"
2021,4a,"11,391",,,"7,355",,,64.6,,,89.4,10.6,857.88,10.13,86.92,834.88,9.62,80.32,"5,036","4,578","29,112","28,595","46,716"
2021,4b,2080,,,"1,351",,,64.9,,,92.1,7.9,176.39,10.35,18.26,514.96,6.08,31.32,778,749,"2,736","2,714","3,263"
2021,5,"4,028",,,"2,460",,,61.1,,,91.8,8.2,306.15,12.30,37.65,"1,550.88",4.30,66.71,"2,317","2,067","6,310","6,115","12,705"
2021,6,"5,500",,,"3,487",,,63.4,,,93.4,6.6,87.29,14.82,12.94,739.66,7.91,58.53,"2,720","2,349","7,638","7,263","14,647"
2021,7,"5,538",,,"3,588",,,64.8,,,92.8,7.2,557.90,8.68,48.43,"1,260.20",7.46,94.01,"4,075","3,755","20,315","19,885","37,322"
2021,8,"3,195",,,"2,018",,,63.2,,,93.4,6.7,120.14,13.59,16.33,"1,298.05",4.13,53.59,"1,327","1,192","4,733","4,590","7,294"
2021,9,"2,561",,,"1,663",,,64.9,,,96,4,220.28,10.88,23.96,933.05,5.07,47.33,"1,271","1,237","3,625","3,585","6,311"
2021,10,"3,452",,,"2,410",,,69.8,,,95.1,4.9,531.51,8.92,47.42,800.88,5.79,46.36,"1,825","1,691","6,141","5,908","12,046"
2021,11,"3,645",,,"2,219",,,60.9,,,95.2,4.8,422.27,9.51,40.15,497.36,6.18,30.75,"1,565","1,369","32,188","32,042","34,090"
2021,12,"3,298",,,"2,233",,,67.7,,,94.7,5.3,442.67,8.46,37.46,847.76,6.88,58.32,"1,305","1,181","5,176","4,887","8,020"
2021,13,"1,836",,,"1,245",,,67.8,,,94.3,5.7,303.77,6.10,18.52,632.05,5.05,31.91,"1,136","1,040","4,311","4,163","5,497"
2021,barmm,"2,557",,,"1,570",,,61.4,,,90.8,9.3,393.17,9.95,39.14,"1,241.59",5.16,64.03,689,543,"1,818","1,579","1,902"
2022,ncr,10217.109,253.172,2.47792208148117,6384.331,163.904,2.6,62.487,0.261,0.417686878870805,92.8,7.2,,,,,,,"7,435","6,867","32,068","31,779","33,571"
2022,car,1266.561,43.132,3.40544198029151,842.329,29.093,3.5,66.505,0.492,0.739794000451094,96.3,3.7,,,,,,,758,694,"1,411","1,378","1,577"
2022,1,3642.755,182.194,5.00154416094412,2424.576,123.136,5.1,66.559,0.564,0.847368500127706,93.9,6.1,,,,,,,"1,208","1,192","4,485","4,467","4,329"
2022,2,2515.272,123.804,4.92209192484948,1656.822,82.236,5.0,65.871,0.529,0.803084817294409,96,4,,,,,,,960,923,"3,767","3,747","3,465"
2022,3,9000.84,338.571,3.7615489221006,5643.511,218.457,3.9,62.7,0.402,0.641148325358852,94.8,5.2,,,,,,,"3,672","3,613","14,562","14,446","14,689"
2022,4a,11668.264,455.087,3.90021171958399,7522.939,298.232,4.0,64.474,0.358,0.555262586468964,93.7,6.4,,,,,,,"5,378","5,145","27,455","26,918","27,225"
2022,4b,2114.902,79.605,3.76400419499343,1383.785,55.774,4.0,65.43,0.566,0.865046614702736,95.5,4.5,,,,,,,835,820,"2,764","2,749","2,487"
2022,5,4083.403,158.726,3.88710102823552,2531.537,102.645,4.1,61.996,0.481,0.775856506871411,94.3,5.8,,,,,,,"2,610","2,414","5,820","5,682","5,622"
2022,6,5556.935,209.74,3.77438282074561,3556.241,133.87,3.8,63.996,0.421,0.657853615850991,94.8,5.2,,,,,,,"2,822","2,593","8,396","8,074","8,687"
2022,7,5624.381,246.216,4.37765506995348,3726.286,167.418,4.5,66.252,0.529,0.798466461389845,95,5,,,,,,,"3,875","3,785","19,513","19,449","20,347"
2022,8,3245.382,130.987,4.03610422440255,2035.609,83.083,4.1,62.723,0.488,0.778024010331138,95.1,4.9,,,,,,,"1,503","1,389","4,337","4,259","4,228"
2022,9,2592.911,107.521,4.1467292938323,1676.812,72.99,4.4,64.669,0.676,1.0453231068982,95.9,4.1,,,,,,,"1,242","1,194","3,401","3,365","3,359"
2022,10,3518.854,128.085,3.63996346537822,2445.315,97.52,4.0,69.492,0.592,0.851896621193806,95.7,4.3,,,,,,,"2,101","2,024","6,160","5,929","5,793"
2022,11,3711.413,139.503,3.75875710948903,2324.522,90.883,3.9,62.632,0.476,0.75999489079065,96,4,,,,,,,"1,454","1,404","24,064","24,011","24,075"
2022,12,3350.156,124.047,3.70272309707369,2394.47,91.94,3.8,71.473,0.499,0.698165740909155,96.3,3.7,,,,,,,"1,419","1,328","4,436","4,358","4,289"
2022,13,1859.247,66.931,3.59989823837285,1262.177,48.476,3.8,67.886,0.553,0.814600948649206,95.6,4.4,,,,,,,"1,230","1,176","3,708","3,488","2,711"
2022,barmm,2625.675,120.735,4.59824616527179,1746.463,86.932,5.0,66.515,0.843,1.26738329700068,94.2,5.8,,,,,,,742,519,"1,552","1,298","1,373"
2023,ncr,10320.522,256.39,2.48427356678277,6439.079,161.677,2.51087150817687,62.391,0.262,0.419932362039397,94.1,5.9,267.78,10.18,27.25,,,,"6,903","6,846","31,409","31,284","106,359"
2023,car,1279.988,47.353,3.6994878076982,840.061,31.534,3.75377502348044,65.63,0.467,0.711564833155569,97.2,2.8,22.57,17.88,4.04,107.56,8.31,8.94,739,702,"1,234","1,205","3,131"
2023,1,3641.822,185.869,5.10373653627223,2356.471,123.376,5.23562564529757,64.706,0.527,0.814453064630792,95,5.0,151.91,17.94,27.25,510.15,11.85,60.43,"1,138","1,104","3,668","3,640","7,056"
2023,2,2530.039,127.579,5.04257049002011,1643.591,84.237,5.12518016951906,64.963,0.56,0.862029155057494,97.6,2.4,73.86,26.26,19.40,314.51,8.48,26.68,"1,014",975,"3,237","3,220","5,798"
2023,3,9143.003,333.668,3.64943553009881,5875.815,224.585,3.82219317660614,64.266,0.451,0.701770765256901,95.8,4.2,636.96,8.37,53.32,419.58,10.00,41.95,"3,518","3,473","12,542","12,499","35,081"
2023,4a,11891.355,483.972,4.06994829437015,7537.202,310.758,4.12298887571276,63.384,0.401,0.632651773318188,94.6,5.4,899.27,9.03,81.23,450.76,11.39,51.34,"4,812","4,696","26,981","26,834","46,342"
2023,4b,2140.07,82.396,3.85015443420075,1360.464,53.78,3.95306307259876,63.571,0.518,0.814836953956993,96.4,3.6,192.43,12.61,24.26,579.30,10.76,62.36,"1,021","1,009","2,835","2,824","4,085"
2023,5,4125.116,158.064,3.83174679209021,2535.477,100.589,3.96726138710783,61.464,0.467,0.75979435116491,95.2,4.8,358.94,9.58,34.38,"1,411.64",4.11,57.95,"2,758","2,657","5,792","5,642","16,113"
2023,6,5608.831,213.647,3.80911815670681,3581.816,138.86,3.87680439196207,63.86,0.481,0.753210147196993,95.9,4.1,84.43,15.34,12.95,582.59,6.66,38.82,"2,645","2,469","9,149","8,856","19,833"
2023,7,5699.655,247.183,4.33680635055981,3776.173,165.519,4.38324727177489,66.253,0.543,0.819585528202497,96.4,3.6,473.42,10.51,49.74,690.43,8.87,61.21,"3,823","3,750","21,604","21,531","39,827"
2023,8,3293.36,132.678,4.02865158986567,2103.095,86.32,4.10442704680483,63.859,0.48,0.751655992107612,96.2,3.8,152.50,18.83,28.72,"1,215.87",4.13,50.25,"1,566","1,465","4,119","4,053","7,669"
2023,9,2616.066,107.775,4.11973551126004,1691.18,73.988,4.3749334783997,64.646,0.667,1.03177304086873,96.9,3.1,175.18,12.13,21.26,"1,027.84",4.96,50.93,"1,700","1,612","3,444","3,412","6,848"
2023,10,3573.536,131.566,3.68167551691098,2460.775,97.76,3.97273216771139,68.861,0.507,0.736265810836322,94.7,5.3,446.25,6.63,29.58,851.35,5.58,47.53,"2,152","2,118","6,110","5,976","12,207"
2023,11,3772.979,143.328,3.79880195463585,2426.191,94.843,3.90913163885284,64.304,0.409,0.636041303806917,96.9,3.1,467.65,17.34,81.10,432.29,8.15,35.24,"1,289","1,210","19,623","19,563","22,526"
2023,12,3048.17,116.438,3.81993130304412,2112.09,82.45,3.90371622421393,69.29,0.502,0.724491268581325,96.8,3.2,472.59,12.11,57.21,584.59,8.47,49.54,"1,377","1,295","3,415","3,348","7,041"
2023,13,1883.771,71.879,3.81569734325457,1379.416,56.293,4.0809299007696,73.226,0.585,0.798896566793216,97,3.0,128.81,10.24,13.19,460.74,5.51,25.38,"1,322","1,271","3,854","3,781","6,433"
2023,barmm,3044.974,109.366,3.59168912443916,2257.491,87.043,3.85574073163525,74.138,0.606,0.81739458847015,96.4,3.6,468.56,7.07,33.11,"1,138.02",4.54,51.69,894,659,"1,727","1,533","1,949"
2025,ncr,,,,,,,,,,,,,,,,,,3274,3256,20755,20726,21329
2025,car,,,,,,,,,,,,,,,,,,384,373,791,774,832
2025,1,,,,,,,,,,,,,,,,,,568,549,2082,2047,1913
2025,2,,,,,,,,,,,,,,,,,,442,437,1944,1932,1782
2025,3,,,,,,,,,,,,,,,,,,1837,1822,7478,7435,7841
2025,4a,,,,,,,,,,,,,,,,,,3420,3356,13381,13264,13883
2025,4b,,,,,,,,,,,,,,,,,,554,547,1458,1450,1232
2025,5,,,,,,,,,,,,,,,,,,1299,1262,3429,3253,3187
2025,6,,,,,,,,,,,,,,,,,,950,922,3375,3340,3527
2025,7,,,,,,,,,,,,,,,,,,1450,1441,11141,11114,11371
2025,8,,,,,,,,,,,,,,,,,,815,808,2730,2719,2699
2025,9,,,,,,,,,,,,,,,,,,751,741,2491,2478,2329
2025,10,,,,,,,,,,,,,,,,,,1022,999,4006,3921,3959
2025,11,,,,,,,,,,,,,,,,,,899,889,11462,11435,11711
2025,12,,,,,,,,,,,,,,,,,,672,669,1949,1938,2045
2025,13,,,,,,,,,,,,,,,,,,674,664,2497,2485,2287
2025,barmm,,,,,,,,,,,,,,,,,,494,442,1334,1277,1459