TABLE 17.3  Clearance Efficiency for Index and Non-Index Crimes: 2017 to 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year/Region,Index Crimes,,,Non-Index Crimes,,,Peace and Order Indicator,,,,,,,,,,,,,,,,,,,,,
,Total,Cleared,Crime Clearance Efficiency (%),Total,Cleared,Crime Clearance Efficiency (%),Total,Cleared,Crime Clearance Efficiency (%),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,"107,653","69,150",64.23,"187,643","165,129",88.00,"295,296","234,279",79.34,,,,,,,,,,,,,,,,,,,
2018,"77,725","56,838",73.13,"190,460","177,352",93.12,"268,185","234,190",87.32,,,,,,,,,,,,,,,,,,,
2019,"68,431","55,007",80.38,"193,134","184,892",95.73,"261,565","239,899",91.72,,,,,,,,,,,,,,,,,,,
2020,"43,912","39,511",89.98,"200,252","196,990",98.37,"244,164","236,501",96.86,,,,,,,,,,,,,,,,,,,
2021,"37,842","34,210",90.40,"188,550","184,915",98.07,"226,392","219,125",96.79,,,,,,,,,,,,,,,,,,,
2022,"39,244","37,080",94.49,"167,899","165,397",98.51,"207,143","202,477",97.75,,,,,,,,,,,,,,,,,,,
NCR,"7,435","6,867",92.36,"32,068","31,779",99.10,"39,503","38,646",97.83,,,,,,,,,,,,,,,,,,,
CAR,758,694,91.56,"1,411","1,378",97.66,"2,169","2,072",95.53,,,,,,,,,,,,,,,,,,,
I - Ilocos Region,"1,208","1,192",98.68,"4,485","4,467",99.60,"5,693","5,659",99.40,,,,,,,,,,,,,,,,,,,
II - Cagayan Valley,960,923,96.15,"3,767","3,747",99.47,"4,727","4,670",98.79,,,,,,,,,,,,,,,,,,,
III - Central Luzon,"3,672","3,613",98.39,"14,562","14,446",99.20,"18,234","18,059",99.04,,,,,,,,,,,,,,,,,,,
IV-A  CALABARZON,"5,378","5,145",95.67,"27,455","26,918",98.04,"32,833","32,063",97.65,,,,,,,,,,,,,,,,,,,
MIMAROPA,835,820,98.20,"2,764","2,749",99.46,"3,599","3,569",99.17,,,,,,,,,,,,,,,,,,,
V - Bicol Region,"2,610","2,414",92.49,"5,820","5,682",97.63,"8,430","8,096",96.04,,,,,,,,,,,,,,,,,,,
VI - Western Visayas,"2,822","2,593",91.89,"8,396","8,074",96.16,"11,218","10,667",95.09,,,,,,,,,,,,,,,,,,,
VII - Central Visayas,"3,875","3,785",97.68,"19,513","19,449",99.67,"23,388","23,234",99.34,,,,,,,,,,,,,,,,,,,
VIII - Eastern Visayas,"1,503","1,389",92.42,"4,337","4,259",98.20,"5,840","5,648",96.71,,,,,,,,,,,,,,,,,,,
IX - Zamboanga Peninsula,"1,242","1,194",96.14,"3,401","3,365",98.94,"4,643","4,559",98.19,,,,,,,,,,,,,,,,,,,
X - Northern Mindanao,"2,101","2,024",96.34,"6,160","5,929",96.25,"8,261","7,953",96.27,,,,,,,,,,,,,,,,,,,
XI - Davao Region,"1,454","1,404",96.56,"24,064","24,011",99.78,"25,518","25,415",99.60,,,,,,,,,,,,,,,,,,,
XII - SOCCSKSARGEN,"1,419","1,328",93.59,"4,436","4,358",98.24,"5,855","5,686",97.11,,,,,,,,,,,,,,,,,,,
XIII - Caraga ,"1,230","1,176",95.61,"3,708","3,488",94.07,"4,938","4,664",94.45,,,,,,,,,,,,,,,,,,,
BARMM,742,519,69.95,"1,552","1,298",83.63,"2,294","1,817",79.21,,,,,,,,,,,,,,,,,,,
2023,"38,671","37,311",96.48,"160,743","159,201",99.04,"199,414","196,512",98.54,,,,,,,,,,,,,,,,,,,
NCR,"6,903","6,846",99.17,"31,409","31,284",99.60,"38,312","38,130",99.52,,,,,,,,,,,,,,,,,,,
CAR,739,702,94.99,"1,234","1,205",97.65,"1,973","1,907",96.65,,,,,,,,,,,,,,,,,,,
I - Ilocos Region,"1,138","1,104",97.01,"3,668","3,640",99.24,"4,806","4,744",98.71,,,,,,,,,,,,,,,,,,,
II - Cagayan Valley,"1,014",975,96.15,"3,237","3,220",99.47,"4,251","4,195",98.68,,,,,,,,,,,,,,,,,,,
III - Central Luzon,"3,518","3,473",98.72,"12,542","12,499",99.66,"16,060","15,972",99.45,,,,,,,,,,,,,,,,,,,
IV-A  CALABARZON,"4,812","4,696",97.59,"26,981","26,834",99.46,"31,793","31,530",99.17,,,,,,,,,,,,,,,,,,,
MIMAROPA,"1,021","1,009",98.82,"2,835","2,824",99.61,"3,856","3,833",99.40,,,,,,,,,,,,,,,,,,,
V - Bicol Region,"2,758","2,657",96.34,"5,792","5,642",97.41,"8,550","8,299",97.06,,,,,,,,,,,,,,,,,,,
VI - Western Visayas,"2,645","2,469",93.35,"9,149","8,856",96.80,"11,794","11,325",96.02,,,,,,,,,,,,,,,,,,,
VII - Central Visayas,"3,823","3,750",98.09,"21,604","21,531",99.66,"25,427","25,281",99.43,,,,,,,,,,,,,,,,,,,
VIII - Eastern Visayas,"1,566","1,465",93.55,"4,119","4,053",98.40,"5,685","5,518",97.06,,,,,,,,,,,,,,,,,,,
IX - Zamboanga Peninsula,"1,700","1,612",94.82,"3,444","3,412",99.07,"5,144","5,024",97.67,,,,,,,,,,,,,,,,,,,
X - Northern Mindanao,"2,152","2,118",98.42,"6,110","5,976",97.81,"8,262","8,094",97.97,,,,,,,,,,,,,,,,,,,
XI - Davao Region,"1,289","1,210",93.87,"19,623","19,563",99.69,"20,912","20,773",99.34,,,,,,,,,,,,,,,,,,,
XII - SOCCSKSARGEN,"1,377","1,295",94.05,"3,415","3,348",98.04,"4,792","4,643",96.89,,,,,,,,,,,,,,,,,,,
XIII - Caraga ,"1,322","1,271",96.14,"3,854","3,781",98.11,"5,176","5,052",97.60,,,,,,,,,,,,,,,,,,,
BARMM,894,659,73.71,"1,727","1,533",88.77,"2,621","2,192",83.63,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021 data as of January 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022 data as of January 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023 data as of 09 January 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Philippine National Police, Crime Information Reporting and Analysis System (CIRAS)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
